Here are the properties for each step in the wizard in JSON format:|||
fn||Describe the Javascript function which is encoded by JSON-style string with curly brackets. In this function, you can use arguments[0] to get the value of the component. In addition, this function will return true if the value is valid or as an invalid string if the value is invalid.|String
Here are the other properties for textfield, password or combobox component in subitems in JSON format:|||
Property|Supported by Mods|Description|DSM Requirement
blankText||The error text to display if the allowBlank validation fails|6.0
grow||true if this field should automatically grow and shrink to its content|6.0
growMax||The maximum height to allow when grow is true|6.0
growMin||The minimum height to allow when grow is true|6.0
htmlEncode||false to skip HTML-encoding the text when rendering it (defaults to false).|6.0
maxLengthText||Error text to display if the maximum length validation using maxLength fails.|6.0
minLengthText||Error text to display if the minimum length validation using minLength fails.|6.0
Here are the properties for combobox component in subitems in JSON format:|||
Property|Supported by Mods|Description|DSM Requirement
api_store|X|JSON-style object to describe to send a WebAPI request and store the response in the data strusture for combobox use. More detailed properties of api_store are given in the store table.|6.0
autoSelect||true to select the first result gathered by the data store (defaults to true). A false value would require a manual selection from the dropdown list to set the components value.|6.0
displayField|X|The underlying data field name to bind to this combobox.|6.0
editable||false to prevent the user from typing text directly into the field, the field will only respond to a click on the trigger to set the value. (defaults to true).|6.0
forceSelection||true to restrict the selected value to one of the values in the list, false to allow the user to set arbitrary text into the field (defaults to false).|6.0
handleHeight||The height in pixels of the dropdown list resize handle if resizable is true.|6.0
listAlign||A valid anchor position value.|6.0
listEmptyText||The empty text to display in the data view if no items are found.|6.0
listWidth||The width of the dropdown list.|6.0
maxHeight||The maximum height in pixels of the dropdown list before scrollbars are shown.|6.0
minChars||The minimum number of characters the user must type before autocomplete and typeAhead activate|6.0
minHeight||The minimum height in pixels of the dropdown list when the list is constrained by its distance to the viewport edges.|6.0
minListWidth||The minimum width of the dropdown list in pixels.|6.0
mode|X|Set to 'local' to load local store to load local JSON-array data. More detailed properties of local store are given in the store table. |6.0
pageSize||If greater than 0, a paging toolbar is displayed in the footer of the dropdown list and the filter queries will execute with page start and limit parameters. Only applies when using api_store (defaults to 0).|6.0
queryDelay||The length of time in milliseconds to delay between the start of typing and sending the query to filter the dropdown list.|6.0
resizable||true to add a resize handle to the bottom of the dropdown list (Defaults to false).|6.0
selectOnFocus||true to select any existing text in the field immediately on focus. Only applies when editable is true (defaults to false).|6.0
store|X|A data structure to store data in combobox (defaults to undefined). It can't be used with api_store at the same time. Acceptable values for this property are:#1-dimensional array : e.g., ["Foo","Bar"]#2-dimensional array : For a 2-dimensional array, the value in index 0 of each item will be assumed to be the valueField, while the value at index 1 is assumed to be the displayField, e.g., [["f","Foo"],["b","Bar"]].|
title||If supplied, a header element is created containing this text and added into the top of the dropdown list|6.0
typeAhead||true to populate and autoselect the remainder of the text being typed after a configurable delay (typeAheadDelay).|6.0
typeAheadDelay||The length of time in milliseconds to wait until the typeahead text is displayed.|6.0
valueField|X|The underlying data value name to bind to this combobox.|6.0
Here are the properties for api_store or store data structure in JSON format:|||
Property|Supported by Mods|Description|DSM Requirement
baseParams|X|An object containing properties which are to be sent as parameters for every WebAPI request in api_store.|6.0
data|X|An inline data object readable by the reader in local store to load local JSON-array data.|6.0
displayField|X|The underlying data field name to bind to this combobox.|6.0
fields|X|defined fields for the data stored in this store or api_store.|6.0
idProperty|X|Identity of the property within data that contains a unique value.|6.0
root|X|The name of the property which contains the array of data. Defaults to undefined.|6.0
valueField|X|The underlying data value name to bind to this combobox.|6.0
xtype|X|Only support arraystore type for local store to load local JSON-array data.|6.0
